mp_election_index,mp_name,nature_membership,term_start_date,term_end_date,term,pc_name,state,mp_political_party,mp_gender,educational_qualification,educational_qualification_details,mp_age,debates,private_member_bills,questions,attendance,mp_note,national_average_debate,national_average_pmb,national_average_questions,attendance_national_average,state_average_debate,state_average_pmb,state_average_questions,attendance_state_average,mp_house
180006,Bhupathiraju Srinivasa Varma,Elected,09-06-2024,In Office,First Term,Narsapuram,Andhra Pradesh,Bharatiya Janata Party,Male,Post Graduate and above,M.A. (Politics) 1999 from Andhra University,58,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180009,Chandra Sekhar Pemmasani,Elected,09-06-2024,In Office,First Term,Guntur,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"M.D. Internal Medicine at Geisinger Medical Center in Danville, Pennsylvania, USA 2005",49,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180017,Maddila Gurumoorthy,Elected,09-06-2024,In Office,Second Term,Thirupati,Andhra Pradesh,Yuvajana Sramika Rythu Congress Party,Male,Graduate,"Bachelor of Physiotherapy from Sri Venkateswara Institute of Medical science, Tirupati 2004-2008",40,24,1,91,0.921348315, Data corresponds to the period from 24-06-2024 to 21-08-2025.,13.51675183,0.134297521,64.55448201,0.872130108,11.54545455,0.045454545,95.81818182,0.845250255,Lok Sabha
180023,Kinjarapu Rammohan Naidu,Elected,09-06-2024,In Office,Third Term,Srikakulam,Andhra Pradesh,Telugu Desam Party,Male,Post Graduate and above,"MBA from Island University, New York, USA, Year 2011",37,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180027,Kiren Rijiju,Elected,09-06-2024,In Office,Fourth Term,Arunachal West,Arunachal Pradesh,Bharatiya Janata Party,Male,Graduate,L.L.B. from Law Faculty of University of Delhi in year 1998,53,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180042,Sarbananda Sonowal,Elected,09-06-2024,In Office,Third Term,Dibrugarh,Assam,Bharatiya Janata Party,Male,Graduate,"LLB G. U. Law College, Gauhati University, Guwahati",62,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180045,Alok Kumar Suman,Elected,09-06-2024,In Office,Second Term,Gopalganj,Bihar,Janata Dal (United),Male,Post Graduate and above,"Master of Surgery from PMCH, Patna University in year 1991",68,36,3,94,0.988764045, Data corresponds to the period from 24-06-2024 to 21-08-2025.,13.51675183,0.134297521,64.55448201,0.872130108,14.08823529,0.264705882,55.29411765,0.883674818,Lok Sabha
180048,Chirag Paswan,Elected,09-06-2024,In Office,Third Term,Hajipur,Bihar,Lok Janshakti Party (Ram Vilas),Male,Graduate,"B.Tech (IInd Semester) from Bundelkhand University, Jhansi in year 2005",42,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180053,Giriraj Singh,Elected,09-06-2024,In Office,Third Term,Begusarai,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A. from Magadh University, 1971",72,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180055,Janardan Singh Sigriwal,Elected,09-06-2024,In Office,Third Term,Maharajganj,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A, Bihar University, Muzaffarpur, 1980",66,26,3,98,1, Data corresponds to the period from 24-06-2024 to 21-08-2025.,13.51675183,0.134297521,64.55448201,0.872130108,14.08823529,0.264705882,55.29411765,0.883674818,Lok Sabha
180056,Jitan Ram Manjhi,Elected,09-06-2024,In Office,First Term,Gaya,Bihar,Hindustani Awam Morcha (Secular),Male,Graduate,"Graduate (Hons.) from Gaya College, Magadh University, Bodh Gaya in year 1966",80,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180062,Nityanand Rai,Elected,09-06-2024,In Office,Third Term,Ujiarpur,Bihar,Bharatiya Janata Party,Male,Graduate,"B.A. Hons from RN College, Bihar University, Muzaffarpur, 1986",59,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180065,Raj Bhushan Choudhary,Elected,09-06-2024,In Office,First Term,Muzaffarpur,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"M.D. from Darbhanga Medical College, Laheriasarai",48,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. Data corresponds to the period from 24-06-2024 to 21-08-2025.",,,,,,,,,Lok Sabha
180069,Rajiv Pratap Rudy,Elected,09-06-2024,In Office,Fifth Term,Saran,Bihar,Bharatiya Janata Party,Male,Post Graduate and above,"M.A. (Economics) from Magadh University, Bodh Gaya in year 1987",63,16,3,72,0.988764045, Data corresponds to the period from 24-06-2024 to 21-08-2025.,13.51675183,0.134297521,64.55448201,0.872130108,14.08823529,0.264705882,55.29411765,0.883674818,Lok Sabha
