MLA Name,Age,Constituency,Gender ,Party,Membership,Education,Start of term,End of Term,Attendance,Attendance -State average,No. of Questions Asked,Question -State Average,Number Of Debates,Debate State Average,Note,Term,State,Image
Palvai Harish Babu,44,Sirpur,Male,Bharatiya Janata Party,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Dr.Palvai Harish Babu.jpg
Gaddam Vivekanand,66,Chennur,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Gaddam Vivekanand.jpg
Gaddam Vinod,67,Bellampalli,Male,Indian National Congress,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Gaddam Vinod.jpg
Kokkirala Premsagar Rao,63,Mancherial,Male,Indian National Congress,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kokkirala Premsagar Rao.jpg
Kova Laxmi,53,Asifabad,Female,Bharat Rashtra Samithi,Elected,Inter/ Higher Secondary,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Kova Laxmi.jpg
Vedma Bhojju,37,Khanapur,Male,Indian National Congress,Elected,Post Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Vedma Bhojju.jpg
Payal Shanker,52,Adilabad,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Payal Shanker.jpg
Anil Jadhav,49,Boath,Male,Bharat Rashtra Samithi,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Anil Jadhav.jpg
Alleti Maheshwar Reddy,54,Nirmal,Male,Bharatiya Janata Party,Elected,Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Alleti Maheshwar Reddy.jpg
Ram Rao Pawar,69,Mudhole,Male,Bharatiya Janata Party,Elected,Professional Graduate,2023-12-03,In office,,,,,,,Member's Data is taken from https://results.eci.gov.in,3,Telangana,Ram Rao Pawar.jpg
